plasmid_0;105-,93+,120+,90+,115+,81+,128+,85+,130+
plasmid_1;54-,167-,137-,100-,46+,63+,118-,122+,145+,99+,172-,116-,182+,165+,112-,163-
plasmid_2;60+,169+,179-,101-,176-,56-,73-,59+,173+,200+
plasmid_3;69+
plasmid_4;26-,80+,32+,88+,159+,123-,168+,143+,108+,106+
plasmid_5;66+,73-,61+,184+,194+
plasmid_6;163-,84+,121-,96-,124-,138-,83-,140+,130-,71-,148-,47+
plasmid_7;65+
plasmid_8;130+,141-,83+,139-,124+,155+,89+,84-,134+,129+
plasmid_9;75+,63+,117-,122+,107+,97+,109-
plasmid_10;131+,153-
plasmid_11;131+
