plasmid_0;18-,114-,64-,123+,55-,83-,42-
plasmid_1;129-,11-,75+,137-,29-,64-,123+,55-,125+,22-,86-
plasmid_2;58+,70-,69+
plasmid_3;90-,103-,115-,87+,113+,61+,80+,101-,92+,37+
plasmid_4;102-,115-,87+
plasmid_5;35+,41-
plasmid_6;45+,134+,75+,44-
plasmid_7;46+,56+,54+,71+,66+,63-,97-,79-,94+,110-,108+
plasmid_8;57+,130+,124+,76+,32-,131-,75-,133-,33-
plasmid_9;72-,76+,9-,75-,134-,39+,50+,127-
plasmid_10;100-,119-,74+,67-,99-
plasmid_11;109-,110+,95-,79+,98+,91+,66-,84+,54-,40+
plasmid_12;24+,133+,75+,136-,43+,76-,124-,128+,2+,60+,76-,72+
plasmid_13;82+,61+,73+,122+,140+,92+,111-,121+,105-,120-,48+
plasmid_14;64+
plasmid_15;7-,93+,28-,83+,55+,141+
plasmid_16;17+,86+,36-,125-,55+,141+
plasmid_17;83+,55+
plasmid_18;125+
plasmid_19;120-,62-,70+,6-,134+,75+,5-
plasmid_20;61+,80+,101-,92+
plasmid_21;8-,135+,75+,132+,25-
plasmid_22;31+,135+,75+
plasmid_23;21-,134+,75+
plasmid_24;34-,135+,75+
plasmid_25;47+,134+,75+
plasmid_26;75+
plasmid_27;124+,76+,13-,126-
plasmid_28;76+,30+,89-
plasmid_29;76+,15-
plasmid_30;76+,16+
plasmid_31;76+,60-,49+
plasmid_32;14-,50+,127-
