plasmid_0;24-,106+,61-,105+,73-,100-,27+
plasmid_1;81-,36+,80-,107+,7-,85-,108+,54-,101-,96-,101-,95-,90-,61-,105+,73-,32-,114+,3+,85-,11-,84-,12-,110+,85+,112+,15-
plasmid_2;52-,57-,62-,57+,47-,88+,41+
plasmid_3;71-,86-,34-,78-,63+,88+,28+,86+,67-,79+,104+,92+,103+,83+,93+,97+,48-
plasmid_4;98+
plasmid_5;69+
plasmid_6;45+
plasmid_7;72+
plasmid_8;78-,58+
plasmid_9;86+,67-,75+,104+,91+,103+,82+
plasmid_10;81+,78-,63+,88+
plasmid_11;111-,40+,110+,85+,111-,33+
plasmid_12;70+
plasmid_13;73+,115-,61+,106-,35+,89-,18+
plasmid_14;73+,115-,61+,90+,19-
plasmid_15;61+,90+
plasmid_16;73+
plasmid_17;16+,107-,80+,44-,74-
plasmid_18;107-,80+,29+
plasmid_19;66+,80+,46+
plasmid_20;107-,80+,65+
plasmid_21;80+
plasmid_22;23+,84+
plasmid_23;84+
plasmid_24;85-,109+,42+,85+,112+,21+
plasmid_25;38+,108-,85+
plasmid_26;108-,85+
