,chain,putative,name,seed,length,mean_read_depth,gene_density,num_cds,gc_content,circular
plasmid_0,"74-,125+,69-,174+",False,plasmid_0,125,2376,9.746565,0.068603,2,0.49032,False
plasmid_1,"39+,64-,135+",True,plasmid_1,39,16722,0.714791,0.806841,24,0.336862,False
plasmid_2,45+,True,plasmid_2,45,10411,0.579909,0.829891,82,0.344059,False
plasmid_3,"171+,52+,115+,68+,92-,134-,195+,96-,107+,91-",True,plasmid_3,68,8040,5.629462,0.485323,38,0.337313,False
plasmid_4,"102-,190+,28+",True,plasmid_4,28,27446,0.985503,0.531407,58,0.336224,False
plasmid_5,"42+,104-,142-",True,plasmid_5,42,11977,1.092038,0.484762,23,0.36879,False
plasmid_6,"98+,253-,160-,214+,73+,177-,249-,210-,150-,161-,81+,78+,30-,103-,44+",False,plasmid_6,78,38182,1.353519,0.016998,9,0.399979,False
plasmid_7,"163-,81+,78+,13+",False,plasmid_7,78,75821,1.226333,0.023648,24,0.38372,False
plasmid_8,"98+,253-,160-,214+,73+,177-,250+,210-,150-,161-,81+,78+",False,plasmid_8,78,2194,5.910099,0.262078,8,0.513218,False
plasmid_9,"140+,7+",False,plasmid_9,140,107910,1.072268,0.000686,1,0.376175,False
plasmid_10,"140+,19-",False,plasmid_10,140,45910,0.854391,0.012917,9,0.36711,False
plasmid_11,140+,False,plasmid_11,140,80,0.989183,0.925,1,0.475,False
plasmid_12,"215+,52+",False,plasmid_12,52,5439,0.325203,0.504688,23,0.331311,False
