,chain,putative,name,seed,length,mean_read_depth,gene_density,num_cds,gc_content,circular
plasmid_0,"78-,157+,131+,124+,113+,82+,92-,128+,149+,180-,162+,71-,130+,183+,120+,129-",False,plasmid_0,113,2399,6.687986,0.030429,1,0.491455,False
plasmid_1,"55-,87+,81+,114-,50+",True,plasmid_1,50,9308,0.723951,0.765041,79,0.344435,False
plasmid_2,69+,False,plasmid_2,69,1319,0.418507,0.493556,2,0.297953,False
plasmid_3,"37+,51-",True,plasmid_3,37,23187,1.091521,0.71497,50,0.360504,False
plasmid_4,"63+,87+,81+,115+,48+,115-",True,plasmid_4,48,9379,0.709187,0.687173,50,0.342361,False
plasmid_5,"89+,27-,66-,70+,60+,60+",False,plasmid_5,70,39912,1.118056,0.139908,25,0.392939,False
plasmid_6,44+,False,plasmid_6,44,8009,0.358521,0.547759,20,0.349732,False
plasmid_7,47+,True,plasmid_7,47,6541,0.535954,0.454518,10,0.36554,False
plasmid_8,"71-,130+,184+,120+,135+,86-,76-,169+,159-,153+,179-,116-,146-,74-,72+,33+,108-,160-",False,plasmid_8,72,27163,1.308466,0.023893,9,0.41413,False
plasmid_9,"74-,72+,3-",False,plasmid_9,72,155279,1.087121,0.011547,25,0.381983,False
plasmid_10,"130+,183+,120+,135+,86-,76-,145+,153+,179-,116-,147-,74-,72+",False,plasmid_10,72,2415,4.209376,0.238095,8,0.511387,False
plasmid_11,"74-,126+,2+",False,plasmid_11,126,186006,1.011651,0.001021,3,0.3763,False
plasmid_12,"126+,23-",False,plasmid_12,126,43204,0.90073,0.013726,9,0.36735,False
plasmid_13,126+,False,plasmid_13,126,80,2.198635,0.925,1,0.475,False
plasmid_14,"87+,81+",False,plasmid_14,87,646,1.115806,0.712074,12,0.379257,False
plasmid_15,"43-,66+,11+",False,plasmid_15,66,105798,0.992654,0.012477,5,0.372275,False
plasmid_16,"9+,66+,53-",False,plasmid_16,66,109053,1.207832,0.012104,5,0.394322,False
plasmid_17,"17-,66+",False,plasmid_17,66,61222,0.840246,0.021561,5,0.359724,False
plasmid_18,66+,True,plasmid_18,66,1681,2.152328,0.785247,5,0.393813,False
plasmid_19,"81-,103-,96+,64-",False,plasmid_19,96,2623,1.076642,0.275257,8,0.372474,False
plasmid_20,"103-,96+,1-",False,plasmid_20,96,259793,0.946015,0.000458,6,0.375818,False
