,chain,putative,name,seed,length,mean_read_depth,gene_density,num_cds,gc_content,circular
plasmid_0,"94-,33+,82-,14+,98+,16-,78+,170+,70+,177-,66+,73-,59+,173+,200+,52-,73-,49+",False,plasmid_0,170,212644,1.036031,0.077552,40,0.374405,False
plasmid_1,"9+,133-,78+,170+,70+,104+,114+,150+,126+,150+,48-,190-,158+,92+,189-",False,plasmid_1,170,112487,1.169703,0.062754,31,0.397682,False
plasmid_2,"105-,93+,120+,90+,115+,81+,128+,85+,130+",True,plasmid_2,115,6661,0.874352,0.382075,10,0.362558,False
plasmid_3,"54-,167-,137-,100-,46+,63+,118-,122+,145+,99+,172-,116-,182+,165+,112-,163-",True,plasmid_3,99,39132,0.539684,0.661019,81,0.35163,False
plasmid_4,"60+,169+,179-,101-,176-,56-,73-,61+,184+,194+,176+",True,plasmid_4,60,23394,0.433326,0.50919,27,0.325725,False
plasmid_5,69+,False,plasmid_5,69,4110,0.333826,0.559124,2,0.29781,False
plasmid_6,51+,True,plasmid_6,51,13811,2.779593,0.706755,31,0.342698,True
plasmid_7,"163-,84+,121-,96-,124-,138-,83-,140+,130-,71-,148-,47+",True,plasmid_7,47,24126,0.564473,0.571251,38,0.350991,False
plasmid_8,"106-,108-,143-,168-,76+,159-,88-,32-,80-,26+,78+,210-,70+,177-,24+,110+",False,plasmid_8,76,119020,0.906708,0.074122,17,0.382364,False
plasmid_9,65+,True,plasmid_9,65,5143,4.974175,0.700953,8,0.367879,True
plasmid_10,78+,True,plasmid_10,78,1815,1.908022,0.863361,2,0.509642,False
plasmid_11,"210-,70+,104+,38+,151-,62-",False,plasmid_11,70,33259,1.192803,0.107159,10,0.411287,False
plasmid_12,"103-,36-,80+,3+,161+",False,plasmid_12,80,170014,1.020031,0.007764,1,0.376046,False
plasmid_13,"6-,80+,19-",False,plasmid_13,80,167486,0.872272,0.008795,3,0.374013,False
plasmid_14,"190+,13+,80+,41-,80-,196+",False,plasmid_14,80,98578,0.817418,0.026781,1,0.375104,False
plasmid_15,"110-,67-,80+,72+,146-",False,plasmid_15,80,9442,0.658855,0.139801,1,0.334145,False
plasmid_16,80+,True,plasmid_16,80,1674,0.757044,0.78853,1,0.442055,False
plasmid_17,"131+,153-",False,plasmid_17,131,510,1.18976,0.558824,2,0.354902,False
plasmid_18,131+,False,plasmid_18,131,325,0.720541,0.876923,2,0.396923,False
plasmid_19,"130+,141-,83+,139-,124+,155+,89+,84-,134+,129+",False,plasmid_19,83,5757,0.996852,0.275317,4,0.366684,False
plasmid_20,"75+,63+,117-,122+,107+,97+,109-",True,plasmid_20,63,9988,0.992998,0.530136,20,0.367141,False
