,chain,putative,name,seed,length,mean_read_depth,gene_density,num_cds,gc_content,circular
plasmid_0,"4+,71-,57-,78+,64-,27+,70+",False,plasmid_0,78,205982,1.222045,0.025259,13,0.396957,False
plasmid_1,"1-,80-,57-,78+,64-",False,plasmid_1,78,332424,1.001615,0.014271,7,0.376146,False
plasmid_2,"6-,71-,57-,78+,64-",False,plasmid_2,78,126217,1.043703,0.050286,28,0.385843,False
plasmid_3,"41+,53-,25+",True,plasmid_3,25,56191,0.853633,0.682529,79,0.343596,False
plasmid_4,49+,True,plasmid_4,49,6792,0.548777,0.801384,37,0.325677,False
plasmid_5,34+,True,plasmid_5,34,17500,0.436549,0.780457,49,0.326114,False
plasmid_6,56+,False,plasmid_6,56,3894,0.349998,0.610169,8,0.288392,False
plasmid_7,"59+,52-,76+,75+,79-,50+,79+",True,plasmid_7,50,16198,0.691224,0.791764,128,0.350105,False
plasmid_8,61+,True,plasmid_8,61,2460,0.807125,0.638211,12,0.39878,True
plasmid_9,"35-,68+,38+,68+,14-",False,plasmid_9,38,95478,0.96095,0.108098,19,0.375301,False
plasmid_10,60+,True,plasmid_10,60,2513,0.9096,0.514524,1,0.345404,False
plasmid_11,64+,True,plasmid_11,64,1795,5.908255,0.872981,2,0.513649,False
plasmid_12,"57+,80+,22+",False,plasmid_12,57,46434,0.871844,0.078025,12,0.376534,False
plasmid_13,"57+,71+",True,plasmid_13,57,3889,3.244514,0.897146,9,0.4973,False
plasmid_14,"57+,80+",False,plasmid_14,57,3359,0.298881,0.924085,4,0.493599,False
plasmid_15,"44+,68+,55+",False,plasmid_15,68,14260,0.589335,0.067952,4,0.345792,False
plasmid_16,"32+,51-",True,plasmid_16,32,28394,1.032881,0.706558,77,0.364514,False
