,chain,putative,name,seed,length,mean_read_depth,gene_density,num_cds,gc_content,circular
plasmid_0,"46-,85+,75+,71-,88-,76-,35-,98+,65+,48+,96+,59+,81+,82+,38+,93+,74+,60+",False,plasmid_0,65,3604,7.594414,0.045228,2,0.497503,False
plasmid_1,"22+,53+,47-,67+,30+,52-,47-,66+,32-,66-",True,plasmid_1,22,44144,1.00451,0.841428,210,0.356153,False
plasmid_2,"27+,53+,47-",True,plasmid_2,27,16841,0.454692,0.52871,26,0.291966,False
plasmid_3,"42-,39+,20-,57-,2-,55-,19-",False,plasmid_3,39,296685,1.43947,0.008133,12,0.4003,False
plasmid_4,"42-,39+,5-",False,plasmid_4,39,156913,1.163254,0.011427,25,0.381077,False
plasmid_5,"86+,37-,102-,83+,42-,39+",False,plasmid_5,39,2188,4.491775,0.262797,8,0.511883,False
plasmid_6,"72+,18+,41-",False,plasmid_6,72,44531,1.099468,0.001662,1,0.377422,False
plasmid_7,"72+,25-,41-,4-",False,plasmid_7,72,177551,0.943163,0.00334,9,0.370485,False
plasmid_8,72+,False,plasmid_8,72,80,0.880082,0.925,1,0.475,False
plasmid_9,"53+,47-",False,plasmid_9,53,704,1.170809,0.660511,16,0.370739,False
plasmid_10,"47+,52+,3-",False,plasmid_10,52,212219,0.936618,0.002163,16,0.375386,False
