,chain,putative,name,seed,length,mean_read_depth,gene_density,num_cds,gc_content,circular
plasmid_0,"53-,8+,30+,9-,59+,25-,55+,28+,12-,49-",False,plasmid_0,55,256824,1.019979,0.019515,9,0.381249,False
plasmid_1,"36-,5-,30+,14+,36+,25-,55+,28+",False,plasmid_1,55,311820,1.01166,0.022923,32,0.394529,False
plasmid_2,"37+,46+,42-,57+,47+,29+,34+,37-,52-,60-,27+,29-,23+,32-,54+,60+",True,plasmid_2,47,16226,0.950065,0.773573,118,0.345125,False
plasmid_3,"32-,58-,52+,31+",True,plasmid_3,31,2676,0.533945,0.729821,36,0.322496,True
plasmid_4,"35-,10+",True,plasmid_4,10,68788,1.357009,0.840757,148,0.340016,True
plasmid_5,"38-,13+,30-,3-,30+,17+,57-,42+,45-,18+,35+,26+",False,plasmid_5,18,499715,0.957223,0.073892,141,0.366947,False
plasmid_6,"6+,49-,43+,51+,41-,38-,7+,33-,11+,33+,20+,33-,21-,33-,16+,50+,19+,45+,42-,56-,22+,56+",False,plasmid_6,22,548814,0.964201,0.076846,127,0.3643,False
plasmid_7,24+,True,plasmid_7,24,5121,9.191521,0.703769,8,0.368483,True
plasmid_8,28+,True,plasmid_8,28,1795,1.918553,0.872981,2,0.513092,False
plasmid_9,"25+,59-,15+,29-,1-,46+,42-,56-",False,plasmid_9,25,549885,0.915721,0.010057,34,0.374458,False
plasmid_10,25+,True,plasmid_10,25,3279,1.129358,0.924062,3,0.493748,False
plasmid_11,42+,False,plasmid_11,42,373,1.102376,0.506702,1,0.367292,False
