,chain,putative,name,seed,length,mean_read_depth,gene_density,num_cds,gc_content,circular
plasmid_0,47+,True,plasmid_0,47,2448,0.76552,0.906863,8,0.341912,False
plasmid_1,"23+,71+,56+,69-",True,plasmid_1,23,32081,1.249244,0.854524,67,0.364827,False
plasmid_2,28+,True,plasmid_2,28,16124,0.648571,0.605619,35,0.331866,False
plasmid_3,34+,True,plasmid_3,34,7839,0.457816,0.4646,9,0.31203,False
plasmid_4,"24+,71+,57+,69-",True,plasmid_4,24,31723,1.242498,0.770104,65,0.368156,False
plasmid_5,50+,True,plasmid_5,50,1833,0.718527,0.56192,1,0.345881,False
plasmid_6,"69-,59+,64+,63+,38+",True,plasmid_6,63,7352,0.480721,0.479597,5,0.320321,False
plasmid_7,"69-,59+,64+,63+",False,plasmid_7,63,1865,0.740262,0.140483,2,0.37319,False
plasmid_8,"62+,64-,60-,69+",False,plasmid_8,62,1867,1.015,0.143546,2,0.37654,False
plasmid_9,62+,False,plasmid_9,62,578,0.448289,0.463668,2,0.366782,False
