,chain,putative,name,seed,length,mean_read_depth,gene_density,num_cds,gc_content,circular
plasmid_0,"16+,52+,63+,19+,52-,59-,35+,59+",False,plasmid_0,35,113766,0.99341,0.060079,21,0.369759,False
plasmid_1,"63+,40-,59+,52+,63+,34+,38+,63-",True,plasmid_1,34,21246,0.764753,0.738586,48,0.324155,False
plasmid_2,"47+,49+,62+,30+,28+",True,plasmid_2,28,53645,1.166855,0.795694,115,0.343685,False
plasmid_3,"52-,59-,29-,49+,62+,33+",False,plasmid_3,33,36879,1.024612,0.17373,19,0.3563,False
plasmid_4,"59-,50-,4+,59+,52+",False,plasmid_4,52,265758,1.005294,0.00561,9,0.373622,False
plasmid_5,"36-,59+,52+",False,plasmid_5,52,7897,0.798254,0.074079,5,0.307585,False
plasmid_6,"6-,50+,59+,52+",False,plasmid_6,52,142469,1.222781,0.092511,29,0.386933,False
plasmid_7,"51+,24+,50+,59+,52+",False,plasmid_7,52,33925,1.173356,0.04395,9,0.393161,False
plasmid_8,"7+,57-,50-,32-,49+,62+",False,plasmid_8,49,146805,1.210671,0.014094,8,0.395545,False
plasmid_9,"49+,39+",False,plasmid_9,49,6484,0.508707,0.179365,4,0.324491,False
plasmid_10,49+,False,plasmid_10,49,1291,0.843873,0.900852,4,0.375678,False
plasmid_11,"53+,25-,50+,57+,18+",False,plasmid_11,50,81444,1.085406,0.011124,4,0.381538,False
plasmid_12,"1-,50+,57+,8-",False,plasmid_12,50,525218,0.977851,0.001725,4,0.372702,False
plasmid_13,"55+,45-,50+,57+,12-",False,plasmid_13,50,81361,1.01379,0.011136,4,0.374172,False
plasmid_14,"55-,42-,50+",False,plasmid_14,50,5403,0.717773,0.167685,4,0.330557,False
plasmid_15,50+,False,plasmid_15,50,1107,3.777564,0.818428,4,0.372177,False
