,chain,putative,name,seed,length,mean_read_depth,gene_density,num_cds,gc_content,circular
plasmid_0,119+,True,plasmid_0,119,4922,0.447564,0.976026,12,0.303941,False
plasmid_1,146+,False,plasmid_1,146,2353,0.332021,0.834254,4,0.306842,False
plasmid_2,"10+,157+,31+,167+,138+,144+",False,plasmid_2,167,95381,1.571882,0.057548,10,0.397134,False
plasmid_3,"167+,138+",True,plasmid_3,167,3407,9.072164,0.876724,2,0.492222,False
plasmid_4,114+,True,plasmid_4,114,5305,0.880806,0.84656,36,0.340999,False
plasmid_5,22+,True,plasmid_5,22,36583,1.276823,0.898942,90,0.364268,False
plasmid_6,"66-,159+,169-,156+,129-",True,plasmid_6,156,20043,0.913097,0.647408,34,0.365963,False
plasmid_7,135+,True,plasmid_7,135,3370,0.594177,0.744214,11,0.361128,False
plasmid_8,86+,True,plasmid_8,86,9735,1.538565,0.792501,14,0.374217,False
plasmid_9,"170+,138+",False,plasmid_9,138,3305,0.353806,0.881694,1,0.490772,False
plasmid_10,"161+,63-",False,plasmid_10,161,14929,1.199157,0.112332,23,0.399357,False
plasmid_11,"161+,4-",False,plasmid_11,161,67996,1.438116,0.007839,7,0.403936,False
plasmid_12,161+,False,plasmid_12,161,610,3.043297,0.752459,6,0.514754,False
plasmid_13,"94-,159+,75-",False,plasmid_13,159,21071,1.356879,0.100422,7,0.382279,False
plasmid_14,"127+,159+,168+,44+",False,plasmid_14,159,29744,1.332671,0.032578,4,0.400114,False
plasmid_15,"155+,159+,89-",False,plasmid_15,159,12340,0.931235,0.078525,4,0.37731,False
plasmid_16,"166-,122+,159+,168+,15-",False,plasmid_16,159,51666,0.879166,0.018755,4,0.373224,False
plasmid_17,159+,False,plasmid_17,159,1004,1.798222,0.964143,4,0.361554,False
