,chain,putative,name,seed,length,mean_read_depth,gene_density,num_cds,gc_content,circular
plasmid_0,"29-,24-,6-,21+,35+,20+,36+,2+,33-",False,plasmid_0,35,675450,1.000752,0.007133,8,0.374575,False
plasmid_1,"8-,21+,35+,20+,26-,5+,34-,29-,24-",False,plasmid_1,35,450122,1.031752,0.011559,13,0.381485,False
plasmid_2,12+,False,plasmid_2,12,23174,0.332243,0.861396,164,0.356304,False
plasmid_3,17+,False,plasmid_3,17,10629,0.301424,0.696397,11,0.341707,False
plasmid_4,18+,True,plasmid_4,18,9331,4.127151,0.745151,9,0.371664,True
plasmid_5,19+,True,plasmid_5,19,5143,4.214758,0.700953,8,0.368073,True
plasmid_6,"13+,31-,21+,37+,20+,36+,10-",False,plasmid_6,20,74299,0.975034,0.069853,14,0.380705,False
plasmid_7,"14-,31-,21+,37+,20+,26-,3+,34-,30-,24-",False,plasmid_7,20,398943,1.01492,0.015907,28,0.379523,False
plasmid_8,"20+,26-",True,plasmid_8,20,3893,1.29016,0.896224,9,0.496532,False
plasmid_9,21+,True,plasmid_9,21,1840,1.39625,0.85163,2,0.505978,False
